addr_full,city,country,brand,extras,lat,lon,opening_hours,phone,ref,postcode,name,state,website
Blvrd. Francisco Trujillo Gurria No. 1,Teapa,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",17.554059,-92.946782,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,654,86800,Super Chedraui Súper Che Teapa,,https://www.chedraui.com.mx/encuentra-tu-tienda
Buen Tono No. 8,Cuauhtémoc,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",19.428604,-99.143277,"{'opening_hours': {'Mon': '07:30-22:00', 'Tue': '07:30-22:00', 'Wed': '07:30-22:00', 'Thu': '07:30-22:00', 'Fri': '07:30-22:00', 'Sat': '07:30-22:00', 'Sun': '07:30-22:00'}}",,129,06070,Chedraui  Issste Buen Tono,,https://www.chedraui.com.mx/encuentra-tu-tienda
Av. Aquiles Serdán No. 360,Xochimilco,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",19.257253,-99.022324,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,140,16740,Chedraui  Tulyehualco,,https://www.chedraui.com.mx/encuentra-tu-tienda
Blvrd. Forjadores De Puebla No. 1099,Cuautlacingo,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",19.074297,-98.257942,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,052,72730,Chedraui Puebla Cruz Del Sur,,https://www.chedraui.com.mx/encuentra-tu-tienda
Blvd. Nuevo Hidalgo No. 2703,Pachuca de Soto,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",20.05699,-98.7771,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,754,42083,Chedraui Pachuca Tulipanes,,https://www.chedraui.com.mx/encuentra-tu-tienda
José Peon Del Valle No. 180,Iztapalapa,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",19.369929,-99.023282,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,699,09530,Supercito Cayetano Andrade,,https://www.chedraui.com.mx/encuentra-tu-tienda
Euquerio Guerrero 36250,Yerbabuena,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",20.975074,-101.279725,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,200,36256,Chedraui Guanajuato,,https://www.chedraui.com.mx/encuentra-tu-tienda
Av. Emilio Portes Gil No. 1903,Tampico,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",22.229679,-97.845111,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,044,89060,Chedraui Tampico Andonegui,,https://www.chedraui.com.mx/encuentra-tu-tienda
Costera Miguel Aleman No. 243,Acapulco De Juárez,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",16.853822,-99.900825,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,265,39300,Chedraui Acapulco Costera,,https://www.chedraui.com.mx/encuentra-tu-tienda
Prolongación De Mina No. 754,Teziutlán,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",19.807408,-97.366204,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,064,73890,Chedraui Teziutlan Crystal,,https://www.chedraui.com.mx/encuentra-tu-tienda
