addr_full,brand,city,country,extras,lat,lon,name,phone,ref,postcode,website
1 rue Victor Lemarchand,But,ST SENIER SOUS AVRANCHES,France,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",48.680651000000000000,-1.336508000000000000,But Avranches,,297,50300,https://www.but.fr/magasins/297/But-Avranches.html
18 impasse Jean Baptiste Gambut - Zi les Vignoles,But,BEAUNE,France,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",47.022975000000000000,4.860704000000000000,But Beaune,,298,21200,https://www.but.fr/magasins/298/But-Beaune.html
Z.A. du Bois du Cours - Route de Broglie,But,BERNAY,France,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",49.075089000000000000,0.581196000000000000,But Bernay,,299,27300,https://www.but.fr/magasins/299/But-Bernay.html
"5, Boulevard André-Georges Voisin",But,SAINT CYR SUR LOIRE,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",47.427123000000000000,0.655714000000000000,But Saint Cyr sur Loire,,300,37540,https://www.but.fr/magasins/300/But-Saint-Cyr-sur-Loire.html
La Bascule - Route Nationale 15,But,SAINTE-MARIE DES CHAMPS,France,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",49.624497000000000000,0.788542000000000000,But Yvetot,,301,76190,https://www.but.fr/magasins/301/But-Yvetot.html
Espace Cial des Océanes - 57 Avenue de Talmont,But,CHATEAU D'OLONNE,France,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",46.487064000000000000,-1.740545000000000000,But Château d'Olonne,,302,85180,https://www.but.fr/magasins/302/But-Chateau-d-Olonne.html
Avenue Jean Monnet,But,PONT AUDEMER,France,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",49.347619000000000000,0.542253000000000000,But Pont Audemer,,303,27500,https://www.but.fr/magasins/303/But-Pont-Audemer.html
Kervidanou 3 - 12 rue Albert Schweitzer,But,MELLAC,France,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",47.869323100000000000,-3.589724700000000000,But Quimperle,,304,29300,https://www.but.fr/magasins/304/But-Quimperle.html
Route de Saumur,But,THOUARS,France,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",47.009344000000000000,-0.202084000000000000,But Thouars,,306,79100,https://www.but.fr/magasins/306/But-Thouars.html
8 Route de Sablé Zone Cap Mermoz,But,CHATEAU GONTIER SUR MAYENNE,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",47.831008931450000000,-0.690605387188940000,But Château Gontier,,308,53200,https://www.but.fr/magasins/308/But-Chateau-Gontier.html
